character,high-freq,medium-freq,examples
生,"人生
先生
女生
学生
生
生命
生日
生活
发生","一生
一生一世
三生有幸
今生
来生
再生
出生
大学生
天生
学生会
学生证
小学生
新生
民生
活生生
生动
生化
生子
生存
生怕
生意
生态
生成
生机
生死
生气
生涯
生物
生物钟
生理
生产
生病
生肖
生育
生菜
生姜
生长
产生
男生
留学生
畜生
毕业生
众生
研究生
终生
维生素
考生
花生
卫生
卫生巾
卫生间
亲生
计生
诞生
逃生
医生
重生
野生
陌生
陌生人
养生
高中生","有多少人在读书中标注过他人生的新时代。
忧虑使人生白发。
人生是一段回家的航程。
先生，请放下小桌板。
女士们，先生们，请就座。
先生初度，理当来贺。
那所学校只招收女生。
我们学校的女生要求佩戴领花。
我们班的所有女生都喜欢去那里。
无论是谁结束了学生生涯，就不再是学生了。
学生打折吗？
只有5%的学生回答正确。
这這个個句子是生凑湊的。
生火
生孩子
挽救生命
生命科学學
与(與)生命抗争(爭)
生日
你生日时(時)得到了什么(麼)礼(禮)物？
咱(偺)们(們)得好好过(過)过(過)你的生日
没沒有水,人就不能生活。
他从從小和祖母一起生活。
日常生活
事情往往是你希望它发生就发生了，而且对它的希望和信任促使它的发生。
如果…发生
这是怎么发生的？"
能,能,"功能
可能
技能
智能
能力
能否
能够
能干
能量","我能照顾顧好自己。
无無才无無能
我能不能借支笔(筆)？"
而,而,"反而
因而
从而
然而
而且
而已","由始而终終
浓濃而不烈
夺奪门門而逃"
子,"儿子
女子
妻子
子
孩子
房子
日子
样子
狮子
狮子座
王子
男子
老子
肚子
脑子
辈子
双子
鞋子
饺子
鼻子","一下子
一辈子
一阵子
上辈子
下辈子
丸子
仙子
份子
分子
位子
例子
个子
傻子
兔子
公子
凳子
刀子
刷子
勺子
包子
包饺子
半辈子
卷子
口子
句子
君子
呆子
呢子
单子
嗓子
因子
圈子
圆子
夜猫子
大肚子
天子
太子
夹子
妮子
妹子
侄子
娃子
婊子
嫂子
娘子
子女
子孙
子宫
子弹
孔子
孩子们
孩子气
孙子
学子
家子
小伙子
小子
屋子
帖子
帽子
弟子
影子
性子
扇子
才子
才子佳人
拉肚子
曲子
月子
本子
村子
杯子
林子
果子
架子
柚子
柱子
柿子
栗子
格子
桃子
桌子
桔子
梅子
梨子
梯子
棋子
棍子
棒子
椅子
椰子
榛子
乐子
橘子
橙子
柜子
段子
母子
毯子
沙子
浪子
汉子
燕子
爪子
父子
片子
牌子
猴子
瓜子
瓶子
生子
男子汉
痞子
疯子
瘦子
皇子
盒子
盘子
看样子
瞎子
种子
稿子
窗子
童子
竹子
笛子
筷子
箱子
笼子
粽子
精子
团子
绳子
罐子
老妈子
老样子
老头子
耗子
肚子痛
胖子
脖子
肠子
胆子
茄子
叶子
盖子
莲子
蚊子
虫子
蝎子
袋子
袖子
被子
裙子
裤子
袜子
亲子
豆子
豹子
贩子
赤子
身子
车子
轮子
辣子
辫子
游子
金子
钉子
扣子
银子
锤子
链子
镜子
院子
阵子
双子座
电子
电子书
面子
靴子
鞭子
领子
风信子
饿肚子
馆子
骗子
骡子
骨子
骰子
胡子
鬼子
鸭子
鸽子
点子","
一位身穿蓝(藍)衣的高个(個)女子
一位女子进(進)来(來)，紧(緊)挨她坐下。
一位身穿白色衣服的女子朝我走来(來)。


她出去工作，而他则(則)在家照顾(顧)孩子。
母亲比父亲更亲近他们的孩子，因为她们更加能确定孩子是自己的。
养十个孩子比养十个孩子一个老人轻松。
你们(們)自己粉刷了房子?
律师的房子建是蠢人的头上。
住在玻璃房子里的人不该扔石头。
近些日子,你都忙什么麼呢？
老百姓的日子越来來越好了。
使某人日子不好过(過)
扣子的样子不对。
装出惊讶/ 无辜的样子
看它/ 他的样子就不舒服
不要唤醒沉睡的狮子。
不要在家里像狮子一样。
一条活狗也比一头死狮子好。
我是巨蟹座，弟弟是狮子座。
我是巨蟹座，弟弟是狮子座。
你是狮子座吗？
王子将(將)礼(禮)物赠(贈)予到访(訪)客人。
威尔士王子
王子反对国王。
一个(個)6英尺多高的男子
我们(們)在悉尼遇到的那个(個)男子
这(這)些男子们(們)被靠墙(牆)排成排。
老子才不怕老板闆呢。
他和他老子一样(樣)
他和他老子一样

我宁愿我的脑子在野外爆裂，也不愿带着恐惧等在屠宰场里。
如果看不到它的脑子在哪里，就不要相信会独立思考的任何东西。
动动脑子。
他这辈子就是不喜欢工作.
他希望这辈子能有享不尽的荣华富贵。
由于祖业丰厚，他这辈子可以衣食无忧了。
双子瀑布位于爱达荷州。
双子瀑布位于爱达荷州。
东京双子花园右翼
你这双鞋子是多少钱买的？
配以合适(適)的鞋子
穿破鞋子比磨破床单好。
你把饺子都放在盖帘里。
妈妈将面作成剂子，准备包饺子。
如果你还有中式饺子的话，我想尝一尝！
(对(對)某事)皱(皺)鼻子
拳打某人的鼻子/眼睛
她把鼻子紧(緊)贴(貼)在窗户(戶)上。"
那,"那
那么","那些
那个
那时
那样
那里","那楼樓是去年建的。
你想买買,那就买買吧。
他这這也想学學,那也想学學。
你别別那么麼想。
你不该該那么麼相信他。
再有那么麼七八个個就够夠了。"
得,"得
得到
获得
觉得","不得不
不得了
值得
取得
得意
得瑟
得知
心得
懂得
舍得
晓得
记得
变得
赢得
难得
显得","她抬得动動。
三三得九。
风風大得很。
得到一张張唱片
他得到了一次出国國的机機会會。
得到提拔
命运不是一种机会，而是一种选择，它不是用来等待的，而是拼搏去获得的。
礼貌不费分文却能获得一切。
想从生活中获得你想要的东西的第一步是决定你想要什么。
我觉得一个玩弄女人心的男人不是一个好男人。那通常是有比旁人想象得更苦的遭遇的。
仿佛觉得…
我觉得你真笨！"
于,"于
对于
属于
于是
终于
关于","不至于
以至于
低于
来源于
出于
勇于
善于
在于
基于
大于
急于
敢于
有助于
源于
由于
相当于
等于
至于
莫过于
处于
过于
鉴于
高于","求助于於朋友
乐樂于於助人
问問道于於盲
对于嗅觉，几乎比其它感觉更能唤起记忆，只可惜你很少利用它。
眼泪对于心灵犹如香皂对于身体。
对于慷慨大方，最重的债务就是对不用我们自己偿债务的感恩。
如果我们没有和平，那是因为我们忘记了我们是属于彼此的。
过去的悲伤应该只属于过去。
财富并不属于拥有的人，而是属于享用的人。
他十分害怕，于是便跑开了。
双方进行了详细的讨论，于是达成了协议。
他不想惊醒她，于是蹑手蹑脚地悄悄走到自己的卧室。
终于！
谢谢您。终于到了。
噢，我们终于完成了！
幽默总是以一些事实为基础的。听过一个关于岳父的笑话吧？
他曾听人轻蔑地说过关于钱，他想知道这些人是否试过不花任何钱。
征求某人关于某事的意见"
着,着,"执着
接着
睡着
着实
着急
走着瞧
随着","木炭着著了。
衣食无無着著
小心着著凉涼。"
下,"一下
下
下午
下载
天下","一下子
上下
下来
下去
下手
下班
下车
下辈子
下酒
下降
下雨
下雪
下面
之下
以下
倒下
剩下
地下
如下
写下
底下
拿下
接下来
放下
旗下
楼下
留下
当下
落下
许下
躺下
这下
乡下
零下","我去问問一下。
天一下就冷了。
按一下鼠标(標)
拍了几幾下
下猪豬崽
拧擰了两兩下
我会(會)一直呆到下午5点(點)30分
下午知道上午从没怀疑过的事情。
下午1点15分。
两个程序可独立下载。
我刚才已下载了你们的指南。
请下载正版的这种软件。
君子之于天下也，无适也，无莫也，义之与比。
大白于天下
虽然我们可能会快乐地在宫殿中漫步，但是天下没有比家更好的地方，尽管它是这样的简陋。"
自,"来自
自
自己","出自
各自
大自然
独自
发自
自主
自作
自信
自个儿
自制
自助
自助餐
自动
自卑
自古
自在
自家
自尊
自从
自恋
自我
自拔
自欺欺人
自杀
自然
自由
自私
自称
自行
自行车
自觉
自豪
自责
自身
亲自
顺其自然","青年志愿者们都来自不同的国家。
风险来自于你不知道自己在做什么。
公正不是来自外界，而是来自内心的平静。
他这這样樣做自有一番用意。
自作自受
自在点(點)
自己
自己
我能够夠照顾顧好自己。"
之,"之
之前
之后","一臂之力
三分之一
不败之地
久而久之
之一
之上
之下
之中
之内
之外
之所以
之间
之际
之类
持之以恒
挥之不去
总之","世界之大,无無奇不有。
父母之爱愛
爱愛国國之心
项項目结結束之前,每个個人压壓力都很大。
我会在25岁之前死去，在那之前我会按照我想要的方式去生活。
在别人嘲笑你之前，要先自嘲。
之后。
看完电電影之后後,他们們去了附近的一家餐馆館。
权衡考虑之后再去冒险。"
年,"今年
年
拜年
新年
龙年","兔年
去年
少年
年代
年夜
年夜饭
年年
年底
年度
年会
年纪
年级
年终
年华
年货
年轻
年头
年龄
明年
更年期
当年
童年
周年
过年
青年","今年
今年
今年年底我父亲親就要退休了。
年过過半百
年复(復)一年
日复(復)一日/年复(復)一年
每到春节，我的那位旧知总要来给我拜年。
过年的第一天，他起得绝早，去爷爷家拜年。
晚辈给长辈拜年是常礼。
新年
祝愿(願)某人新年快乐(樂)
新年新气象。
龙年代表着财运和兴盛。
图表显示龙年出生率的暴增。
在今年龙年，我制作了一个加入新词的新版本。"
过,"不过
超过
过
过去
过年","太过
度过
放过
经过
罪过
莫过于
路过
通过
过来
过分
过客
过度
过往
过敏
过于
过瘾
过程
过节
过头
错过
难过","不过過是点點小伤傷。
宝寶宝寶不过過6个個月大。
这這是最简簡单單不过過的方法。
超过(過)我们(們)的需要
未满(滿)/超过(過)承诺(諾)年龄(齡)
我们(們)跟在一辆(輛)拖拉机(機)后(後)面，没(沒)法超过(過)。
将將功补補过過
过過账賬
你假期怎么麼过過的？
过去的悲伤应该只属于过去。
只回溯过去的是很差的记忆。
这是一个进入商业领域的绝好时间，因为在未来10年中商业的变化要超过过去50年的。
过年
眼看就要过年了，请你务要及时回家！
我家的锅灶只在过年的几天用，平时一直闲着。"
发,"出发
恭喜发财
发
发布
发展
发现
发生
发表
发起
转发
头发","假发
卷发
启发
大润发
引发
打发
批发
散发
染发
沙发
洗发水
激发
爆发
理发
理发师
理发店
发布会
发作
发光
发冷
发出
发动
发动机
发呆
发售
发帖
发怒
发愁
发抖
发掘
发挥
发放
发明
发条
发泄
发火
发炎
发热
发烧
发疯
发票
发红
发给
发声
发育
发胖
发脾气
发自
发芽
发行
发觉
发言
发言人
发誓
发财
发货
发送
发达
发酵
发霉
发音
发飙
白发
研发
秀发
突发
美发
脱发
补发
越发
金发
长发
开发
开发商
颁发
首发
发型
发型师","出发
从從实實际際出发發
一早出发(發)
恭喜发财！
恭喜发财
恭喜发财
发發家
发發面
发發掘
整点发布命令。
我通过无线电发布新闻。
我的新书12月15日正式发布。
按计划进行/ 发展
近年来，我国的服务业飞速发展。
时代在发展，大清朝运数尽了。
发现
我们总是更渴望那些我们没有的才能被发现，而不是被赞赏已经拥有的十五种能力。
我发现一个悖论，假如你爱至成伤，你会发现伤没有了，只有更多的爱。
事情往往是你希望它发生就发生了，而且对它的希望和信任促使它的发生。
如果…发生
这是怎么发生的？
无法发表评论
他现在无法发表意见
恶作剧者也能发表意见。
军队已开始发起攻势。
看护犬向入侵者发起了攻击。
部队已经准备好发起进攻。
全线速转发
邮箱转发列表出错！
标签转发信息库
头发也有影子。
产生智慧的不是白头发。
抓住机会的胡子，因为它的后面没有头发。"
后,"之后
以后
后
最后
然后","事后
今后
先后
前后
午后
天后
幕后
往后
后代
后来
后台
后天
后宫
后年
后悔
后期
后果
后者
后卫
后退
后遗症
后面
日后
皇后
背后
落后
身后
过后
酒后
随后","之后。
看完电電影之后後,他们們去了附近的一家餐馆館。
权衡考虑之后再去冒险。
以后後我们們去看电電影。
两兩年以后後，他果然去周游遊世界了。
两兩年以后後
我坐在后後排。
房后後有个個车車库。
后後来來的人没沒有位置坐。
最后一年，我专攻军事法。
最后，确定把所需文件带来。
最后，我们作出决定，执行新政。
我先看新闻聞,然后後吃晚饭飯。
拿着一块木板，然后找到它最薄，最容易钻的地方，钻很多的洞。我受不了这样的科学家。
选择一个目标，确定一个能够完成目标的行动方向，然后坚持这个行动直到目标达成。关键就是行动。"
作,"作
作品
作业
作为
工作","作出
作孽
作家
作弊
作怪
作息
作战
作文
作案
作用
作痛
作祟
作者
作风
做作
杰作
副作用
创作
力作
动作
动作片
化作
合作
大作
写作
工作室
工作日
工作者
工作量
恶作剧
振作
操作
故作
炒作
当作
发作
看作
称作
自作
装作
制作
运作","鞭炮声聲大作。
作呕嘔
自作自受
文学學作品
我不想通过我的作品来达到不朽，我想通过不死来达到这个目的。
这是谁的作品？
野外作业業
做家庭作业(業)
做课(課)外作业(業)
我把种種花作为為一种種休闲閒方式。
我们們要根据據一个個人的作为為来來评評判他。
作为為一名母亲親,抚撫育儿兒女是她的责責任。
我想找份好工作。
他做任何工作都很尽盡力。
编編译譯字典不是一件简簡单單的工作。"
里,"哪里
里
里面
这里","三里屯
公里
卡路里
可可西里
嘴里
夜里
家里
平方公里
心里
心里话
怀里
歇斯底里
水里
百里挑一
稀里哗啦
里边
里头
那里
乡里
阿里巴巴
香格里拉
马德里","哪里？
你住在哪里裡？
哪里裡,哪里裡,你过過奖獎了。
屋子里裡
邻鄰里裡
裤褲子里裡儿兒
当有金钱的因素在里面时，诚实就是最好的政策。
鼻子里面都破了。
不要忘记“i's”里面的一撇！
离这里不远
这里有人吗？
好，请看这里。"
用,"使用
用","不用
享用
作用
信用
信用卡
备用
利用
好用
家用
实用
专用
引用
应用
采用
有用
服用
没用
用来
用力
用品
用完
用心
用户
用尽
管用
试用
费用
通用
运用
适用
选用
食用
饮用","我使用宽寬带帶上网網。
使用说說明
在使用中/ 停止使用
你们們可以用这這个個教室。
用茶
抓苍蝇用蜂蜜比用醋更好。"
道,知道,"出道
北海道
厚道
同道
味道
问道
国道
地道
报道
大道
微不足道
志同道合
有道
正道
渠道
王道
肠道
街道
说道
车道
轨道
通道
道
道具
道别
道德
道歉
道理
道路
隧道
难道
霸道
频道","知道⋯
知道…
这這事我可不知道。"
行,"排行
旅行
流行
行
行动
行走
进行
银行","一行
上行
下行
中行
例行
修行
出行
分行
可行
同行
执行
天马行空
央行
实行
履行
工行
平行
平行线
建行
强行
德行
排行榜
支行
旅行社
横行
步行
步行者
步行街
潜行
独行
发行
自行
自行车
举行
行事
行人
行列
行善
行囊
行好
行尸走肉
行情
行政
行星
行李
行李箱
行业
行为
行程
行者
行货
行路
行踪
行车
行长
行头
行驶
言行
车行
转行
通行
通行证
游行
运行
远行
银行卡
银行家
银行业
随行
飞行
飞行员","她在3个孩子中排行老二。
她在3个孩子中排行老二。
我们正对这些博客的点击率进行大排行。
去…旅行
乘游(遊)船旅行
旅行安排在6月5日
流行
流行
这這种種服装裝开開始流行起来來。
在家你行几幾？
行,就这這么麼说說定了。
请請把图圖标標排成竖豎行。
奶奶年纪紀大了,行动動不便。
采採取行动動
行动(動)/决(決)定迟(遲)了
如果你的头是蜡做的，就不要在太阳下行走。
一切真正伟大的思想都源自于行走。
我在沙滩上缓步行走。
进行抵抗/ 战斗
对某人进行报复
为某事进行报复
她在银行工作。
我得去趟银行。
银行付款完成。"
所,"所
所以
所有","一无所有
不知所措
之所以
前所未有
场所
厕所
所在
所谓
畅所欲言
有所
派出所
无所事事
无所谓
理所当然
随心所欲","她被我的真诚誠所感动動。
这這正是大家所不理解的。
我所看过過的影片很少有大片。
路上堵车車，所以我迟遲到了。
她要减肥，所以拒绝吃肥肉。
管子是弯的，所以望不出去。
宙斯不会让所有人都如愿。
你可以愚弄一些人一辈子，也可以愚弄所有人一阵子，但是你不能愚弄所有人一辈子。
当你要做功课、填写报税表，或者你想查看所有的可选行程时，你需要全屏查看。"
然,"依然
居然
果然
然后
突然
竟然
自然
虽然","不然
仍然
偶然
坦然
大自然
天然
已然
必然
忽然
悄然
既然
淡然
然
然而
理所当然
当然
突然间
茫然
释然
顺其自然
显然","她依然像10年前那么麼漂亮。
他们依然嬉闹争吵着。
名字有什么关系呢？就是玫瑰不叫玫瑰，它依然芳香如故。
他考试試居然敢做弊！
居然是首相
居然有脸(臉)做某事
果然，警报被关闭了。
果然如我所料，这次他赢了。
主上果然是真命天子！
我先看新闻聞,然后後吃晚饭飯。
拿着一块木板，然后找到它最薄，最容易钻的地方，钻很多的洞。我受不了这样的科学家。
选择一个目标，确定一个能够完成目标的行动方向，然后坚持这个行动直到目标达成。关键就是行动。
突然
成功不是突然就来的。
这就是学习。你突然以一种新的方式理解了一些你人生中己经明白的事。
走到半路上竟然下起雨来來。
玛瑪丽麗养養了五年的小狗竟然咬了她。
有趣的是你竟然同意了
自然
你对對他那么麼冷淡,他自然不会會再来來了。
表情自然
虽然我很感谢财富的赐福，但是它并没有改变我，我的脚还站在地上，只不过是穿了更好的鞋子。
我知道这片树林是谁的。虽然他就住在村落中，他不会看到我停在这里，看着他的树林雪花纷飞。
虽然真理如此稀有，供给却一直大于需求。"
家,"回家
大家
家
玩家","人家
作家
冤家
到家
合家
国家
墨家
娘家
宜家
家人
家伙
家具
家务
家园
家居
家属
家常
家庭
家族
家里
家乡
家长
家门
专家
想家
搬家
独家
石家庄
科学家
老人家
老家
自家
艺术家
评论家
邻家
阖家","回家。
回家！
我要回家了。
国國画畫大家
我们們大家必须須继繼续續努力。
大家都很喜欢歡这這部电電影。
家傢畜
家傢兄
造访(訪)某人(的家)
垫牌后每个玩家手中有五张牌。
游戏开始时，每名玩家有五张牌。
所有玩家都过牌，那么这轮赌局就结束了。"
种,种,"各种各样
品种
物种
特种兵
种子
种种","种種果树樹
种種痘
你去了哪种(種)学(學)校？"
事,"事
事情
故事","世事
事事
事件
事先
事儿
事务
事实
事后
事故
事业
事业有成
事物
事变
事项
人事
做事
共事
凡事
出事
刑事
同事
喜事
回事
坏事
小事
屁事
往事
从事
心事
怎么回事
懂事
找事
本事
乐事
没事
无所事事
烦心事
琐事
当事人
糗事
万事
万事如意
董事长
处事
行事
诸事
赛事
军事
办事","有事吗嗎？没沒事。
这這没沒我的事。
我想和你说說几幾件事。
他公司事情很多。
事情不会會这這么麼简簡单單。
把事情做好
总之，故事还未结束。
这个悬疑故事令人惊惧。
它没有让故事的作者成为骗子，它使他们成为容易犯错的人类记忆和认知的仆人。"
成,"完成
成
成功
成就
成为
成长","切成
合成
建成
形成
成交
成人
成全
成分
成名
成员
成年
成日
成本
成果
成熟
成真
成立
成绩
成绩单
成语
成都
成龙
改成
构成
当成
看成
组成
变成
造成
达成
养成","完成某事
绅士的产生始于教育，完成于交际。
越是想完成的事，我越是不视它为工作。
那件事成了。
成！就这這么麼定了。
两兩个個人成了好朋友。
成功
他这這次试試验驗获獲得了成功。
本届屆运運动動会會开開得很成功。
他在事业上很有成就。
她立志成就一番事业業。
引以为(為)豪的成就
活着的全部意义在于发展成为你想成为的完整的人。
想要成为能够成为的人是生活的目标。
永远不要忘记，你的人生是你自己在掌控。你因你有意或无意地选择而成为你。
成长(長)为(為)⋯
胚胎的成长(長)
一个(個)成长(長)中的明星"
方,"地方
官方
对方
方
方便
方向
方式
方法
方面
东方","下方
何方
偏方
全方位
前方
北方
南方
大方
天各一方
女方
平方公里
平方米
方便面
方圆
方块
方案
方程式
方糖
方舟
方言
次方
秘方
立方
西方
警方
远方
配方
双方
魔方","你是哪个個地方的人？
这這个個地方真美。
车車里裡没沒地方了。
进(進)行私人性/官方的访(訪)问(問)
官方的失业(業)统(統)计(計)数(數)据(據)
一份官方犯罪报(報)告证(證)实(實)了她的观(觀)点(點)。
埃米跪下身子，这样他们可以平视对方。
永远不要动怒，不要威胁对方，以理服人。
有时候衡量友谊不是你能不去伤害对方，而是你能够包容和原谅对方的过错并且让他原谅你的错误。
能自制者，方能制人。
这条河流向东南方。
争论由第三方裁决。
上海的交通很方便。
这這里裡谈談话話不方便。
我们們应應把方便留给給他人。
你要朝那个個方向走。
他们們在森林里裡迷失了方向。
方向正确(確)

打击有害思想的方法是用其它思想，打击谎言的方法是用真相。
中国古代通过六书的方法造字。
准备色柱有两种方法：干法和湿法。
优優势勢在我们們方面。
我们們应應该該分析问問题題的所有方面。
在政治/经(經)济(濟)方面
东方蓝鳍鲔
太阳从东方升起。
这房子面朝东方。"
